2020,,,,,2021,,,,2022,,,,2023,,,,2024,,
Baranggay,Total Population,Total area (km²),Density (population/km)²,,Total Population,Total area (km²),Density (population/km)²,,Total Population,Total area (km²),Density (population/km)²,,Total Population,Total area (km²),Density (population/km)²,,Total Population,Total area (km²),Density (population/km)²
Burol,"11,902",2.067,"5,759",,12491,2.067,"6,043",,13057,2.067,"6,317",,13665,2.067,"6,611",,"14,252",2.067,6895
Langkaan I,"26,939",8.213,"3,280",,27563,8.213,"3,356",,28187,8.213,"3,432",,28803,8.213,"3,507",,"29,424",8.213,3583
Paliparan I,"10,125",3.685,"2,747",,10760,3.685,"2,920",,11401,3.685,"3,094",,12039,3.685,"3,267",,"12,678",3.685,3440
Sabang,"17,329",1.602,"10,819",,17717,1.602,"11,059",,18099,1.602,"11,298",,18484,1.602,"11,538",,"18,866",1.602,11777
Salawag,"78,778",19.28,"4,086",,80031,19.28,"4,151",,81265,19.28,"4,215",,82518,19.28,"4,280",,"83,756",19.28,4344
Salitran I,"5,158",1.132,"4,555",,5262,1.132,"4,648",,5367,1.132,"4,741",,5472,1.132,"4,834",,"5,577",1.132,4927
Sampaloc I,"7,662",1.567,"4,890",,7696,1.567,"4,911",,7728,1.567,"4,932",,7761,1.567,"4,953",,"7,795",1.567,4974
San Agustin I,"11,971",3.718,"3,220",,12061,3.718,"3,244",,12150,3.718,"3,268",,12240,3.718,"3,292",,"12,328",3.718,3316
San Jose,"11,925",1.681,"7,093",,11986,1.681,"7,130",,12048,1.681,"7,167",,12110,1.681,"7,204",,"12,172",1.681,7241
Zone I,"4,219",0.2399,"17,589",,4276,0.2399,"17,825",,4338,0.2399,"18,081",,4389,0.2399,"18,297",,"4,446",0.2399,18533
Zone II,"1,677",0.09179,"18,270",,1685,0.09179,"18,357",,1693,0.09179,"18,445",,1701,0.09179,"18,532",,"1,709",0.09179,18619
Zone III,"3, 821",1.652,"2, 313",,4089,1.652,"2,475",,4355,1.652,"2,636",,4622,1.652,"2,798",,"4,889",1.652,2959
Zone IV,"3, 770",0.6887,"5, 474",,3805,0.6887,"5,525",,3840,0.6887,"5,576",,3875,0.6887,"5,626",,"3,910",0.6887,5677
Datu Esmael,"7, 969",0.1291,"61, 746",,8111,0.1291,"62,826",,8250,0.1291,"63,907",,8390,0.1291,"64,987",,"8,271",0.1291,66067
Emmanuel Bergado I,"8, 002",0.1108,"72, 227",,8080,0.1108,"72,927",,8118,0.1108,"73,267",,8235,0.1108,"74,327",,"8,313",0.1108,75027
Fatima I,"6, 782",0.1778,"38, 135",,6920,0.1778,"38,922",,7060,0.1778,"39,709",,7200,0.1778,"40,495",,"7,340",0.1778,41282
Luzviminda I,"3, 565",0.126,"28, 303",,3567,0.126,"28,313",,3569,0.126,"28,322",,3570,0.126,"28,332",,"3,571",0.126,28341
Saint Peter I,"2, 287",0.04862,"47, 038",,2281,0.04862,"46,910",,2274,0.04862,"46,781",,2268,0.04862,"46,653",,"2,262",0.04862,46524
San Andres I,"4, 259",0.05255,"81, 047",,4278,0.05255,"81,404",,4297,0.05255,"81,761",,4315,0.05255,"82,117",,"4,334",0.05255,82474
San Antonio De Padua I,"3, 407",0.09236,"36, 888",,3434,0.09236,"37,181",,3461,0.09236,"37,473",,3488,0.09236,"37,766",,"3,515",0.09236,38058
San Dionisio,"6, 741",0.1242,"54, 262",,6746,0.1242,"54,314",,6752,0.1242,"54,366",,6759,0.1242,"54,417",,"6,765",0.1242,54469
San Esteban,"4, 583",0.08216,"55, 781",,4546,0.08216,"55,331",,4509,0.08216,"54,881",,4472,0.08216,"54,430",,"4,435",0.08216,53980
San Francisco I,"3, 099",0.05935,"52, 216",,3103,0.05935,"52,283",,3107,0.05935,"52,351",,3111,0.05935,"52,418",,"3,115",0.05935,52485
San Isidro Labrador I,"4, 834",0.09347,"51, 717",,4824,0.09347,"51,610",,4814,0.09347,"51,503",,4804,0.09347,"51,396",,"4,794",0.09347,51289
San Juan,"3, 667",0.07337,"49, 980",,3718,0.07337,"50,679",,3770,0.07337,"51,377",,3821,0.07337,"52,076",,"3,872",0.07337,52774
San Lorenzo Ruiz I,"3, 311",0.06559,"50, 480",,3339,0.06559,"50,907",,3367,0.06559,"51,334",,3395,0.06559,"51,761",,"3,423",0.06559,52188
San Luis I,"3, 963",0.07711,"51, 394",,3938,0.07711,"51,067",,3912,0.07711,"50,739",,3887,0.07711,"50,412",,"3,862",0.07711,50084
San Manuel I,"2, 822",0.1066,"26, 483",,2798,0.1066,"26,248",,2773,0.1066,"26,014",,2748,0.1066,"25,779",,"2,723",0.1066,25544
San Mateo,"4, 950",0.1029,"48, 124",,4983,0.1029,"48,430",,5015,0.1029,"48,737",,5047,0.1029,"49,043",,"5,078",0.1029,49349
San Miguel,"4, 118",0.07028,"58, 594",,4170,0.07028,"59,331",,4222,0.07028,"60,067",,4273,0.07028,"60,804",,"4,325",0.07028,61540
San Nicolas I,"2, 071",0.03975,"52, 101",,2077,0.03975,"52,246",,2083,0.03975,"52,390",,2088,0.03975,"52,535",,"2,094",0.03975,52679
San Roque,"2, 855",0.04118,"69, 330",,2881,0.04118,"69,955",,2907,0.04118,"70,581",,2932,0.04118,"71,206",,"2,958",0.04118,71831
San Simon,"6, 242",0.1616,"38, 624",,6277,0.1616,"38,844",,6313,0.1616,"39,065",,6348,0.1616,"39,285",,"6,384",0.1616,39505
Santa Cristina I,"3, 307",0.05728,"57, 734",,3315,0.05728,"57,865",,3322,0.05728,"57,996",,3330,0.05728,"58,127",,"3,337",0.05728,58258
